keyword,language,topic,topicColor,keywordColor,limitPages,ratioNew,continent,gnd,geonames,latitude,longitude,geotype,country,ipcc
'Pjöngjang',de,North Korea,#ee69e1,#ee69e1,2,0.100039139221,ASIA,4285178-6,1871859,39.033850000000,125.754320000000,P,North Korea,EAS
'Madagaskar',de,Madagascar,#1439bc,#1439bc,2,0.100038077298,AFRICA,4074425-5,1062947,-20.000000000000,47.000000000000,A,Madagascar,MDG
'Antananarivo',de,Madagascar,#1538be,#1538be,2,0.100038077298,AFRICA,4212652-6,1070940,-18.913680000000,47.536130000000,P,Madagascar,MDG
'Nepal',de,Nepal,#8f52eb,#8f52eb,2,0.100035602556,ASIA,4041612-4,1282988,28.000000000000,84.000000000000,A,Nepal,TIB
'Kathmandu',de,Nepal,#9252eb,#9252eb,2,0.100035602556,ASIA,4030036-5,1283240,27.701690000000,85.320600000000,P,Nepal,TIB
'Jemen',de,Yemen,#395de9,#395de9,2,0.100035089336,ASIA,4073009-8,69543,15.500000000000,47.500000000000,A,Yemen,ARP
'Sanaa',de,Yemen,#3867e8,#3867e8,2,0.100035089336,ASIA,4051533-3,71137,15.354720000000,44.206670000000,P,Yemen,ARP
'Caracas',de,Venezuela,#44e72e,#44e72e,2,0.100034637799,SOUTH-AMERICA,4009457-1,3646738,10.488010000000,-66.879190000000,P,Venezuela,NSA
'Venezuela',de,Venezuela,#3ce729,#3ce729,2,0.100034637799,SOUTH-AMERICA,4062512-6,3625428,8.000000000000,-66.000000000000,A,Venezuela,NSA
'Mosambik',de,Mozambique,#155cc0,#155cc0,2,0.100033902946,AFRICA,4039786-5,1036973,-18.250000000000,35.000000000000,A,Mozambique,ESAF
'Maputo',de,Mozambique,#135bb0,#135bb0,2,0.100033902946,AFRICA,1038246-X,1040652,-25.965530000000,32.583220000000,P,Mozambique,ESAF
'Ghana',de,Ghana,#2ae7e3,#2ae7e3,2,0.100033594127,AFRICA,4020949-0,2300660,8.100000000000,-1.200000000000,A,Ghana,WAF
'Accra',de,Ghana,#24e6e6,#24e6e6,2,0.100033594127,AFRICA,4000338-3,2306104,5.556020000000,-0.196900000000,P,Ghana,WAF
'Luanda',de,Angola,#17aad3,#17aad3,2,0.100032457245,AFRICA,4099838-1,2240449,-8.836820000000,13.234320000000,P,Angola,CAF
'Angola',de,Angola,#1694cb,#1694cb,2,0.100032457245,AFRICA,4002050-2,3351879,-12.500000000000,18.500000000000,A,Angola,WSAF
'Malaysia',de,Malaysia,#cd1ee6,#cd1ee6,2,0.100031717250,ASIA,4037203-0,1733045,2.500000000000,112.500000000000,A,Malaysia,SEA
'Kuala Lumpur',de,Malaysia,#a91fe6,#a91fe6,2,0.100031717250,ASIA,4110404-3,1735161,3.141200000000,101.686530000000,P,Malaysia,SEA
'Lima',de,Peru,#4acc16,#4acc16,2,0.100031260496,SOUTH-AMERICA,4035742-9,3936456,-12.043180000000,-77.028240000000,P,Peru,NWS
'Peru',de,Peru,#46d117,#46d117,2,0.100031260496,SOUTH-AMERICA,4045312-1,3932488,-10.000000000000,-75.250000000000,A,Peru,NWS
'Usbekistan',de,Uzbekistan,#766eee,#766eee,2,0.100030344041,ASIA,4062199-6,1512440,41.666670000000,63.833330000000,A,Uzbekistan,WCA
'Taschkent',de,Uzbekistan,#816dee,#816dee,2,0.100030344041,ASIA,4059096-3,1512569,41.264650000000,69.216270000000,P,Uzbekistan,WCA
'Riad',de,Saudi Arabia,#4b6feb,#4b6feb,2,0.100029673637,ASIA,4015384-8,108410,24.687730000000,46.721850000000,P,Saudi Arabia,ARP
'Saudi-Arabien',de,Saudi Arabia,#4c74eb,#4c74eb,2,0.100029673637,ASIA,4051788-3,102358,25.000000000000,45.000000000000,A,Saudi Arabia,ARP
'Rabat',de,Morocco,#5eeddd,#5eeddd,2,0.100027755313,EUROPE-AFRICA,4076467-9,2538475,34.013250000000,-6.832550000000,P,Morocco,MED
